Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:

3521 : (x,y) = (22.8388,56.6375)

3522 : (x,y) = (23.6227,57.2585)

3523 : (x,y) = (22.8461,57.8885)

3524 : (x,y) = (22.4574,58.8099)

3525 : (x,y) = (21.7337,59.5)

3526 : (x,y) = (20.8506,59.0307)

3527 : (x,y) = (21.5181,59.7754)

3528 : (x,y) = (22.0557,58.9322)

3529 : (x,y) = (22.9169,58.4239)

3530 : (x,y) = (23.3133,57.5058)

3531 : (x,y) = (23.1123,56.5262)

3532 : (x,y) = (22.934,57.5102)

3533 : (x,y) = (22.2904,58.2756)

3534 : (x,y) = (21.6993,57.469)

3535 : (x,y) = (21.1688,58.3166)

3536 : (x,y) = (20.6726,59.1849)

3537 : (x,y) = (20.1911,58.3084)

3538 : (x,y) = (20.1487,57.3093)

3539 : (x,y) = (20.6023,58.2005)

3540 : (x,y) = (21.5597,57.9115)

3541 : (x,y) = (22.5579,57.9715)

3542 : (x,y) = (23.5352,57.7599)

3543 : (x,y) = (22.5371,57.8215)

3544 : (x,y) = (23.2802,57.1522)

3545 : (x,y) = (24.2184,56.8063)

3546 : (x,y) = (23.2855,56.4462)

3547 : (x,y) = (24.2027,56.8448)

3548 : (x,y) = (23.7746,55.9411)

3549 : (x,y) = (24.3289,55.1088)

3550 : (x,y) = (25.0328,55.8192)

3551 : (x,y) = (24.9636,56.8168)

3552 : (x,y) = (24.456,55.9552)

3553 : (x,y) = (24.7683,55.0052)

3554 : (x,y) = (24.0656,55.7167)

3555 : (x,y) = (24.1232,54.7183)

3556 : (x,y) = (25.0443,55.1078)

3557 : (x,y) = (24.6252,54.1998)

3558 : (x,y) = (25.4254,53.6)

3559 : (x,y) = (26.0312,54.3956)

3560 : (x,y) = (25.2164,53.8159)

3561 : (x,y) = (24.9186,52.8613)

3562 : (x,y) = (25.1376,53.837)

3563 : (x,y) = (25.5523,52.927)

3564 : (x,y) = (25.9761,52.0213)

3565 : (x,y) = (25.4713,52.8845)

3566 : (x,y) = (26.2296,53.5363)

3567 : (x,y) = (26.7949,54.3612)

3568 : (x,y) = (25.9687,53.7979)

3569 : (x,y) = (26.4576,54.6702)

3570 : (x,y) = (27.3899,55.0318)

3571 : (x,y) = (26.8737,54.1754)

3572 : (x,y) = (26.3689,55.0386)

3573 : (x,y) = (25.3708,55.1001)

3574 : (x,y) = (24.4066,54.8349)

3575 : (x,y) = (23.4398,54.5794)

3576 : (x,y) = (23.9199,55.4566)

3577 : (x,y) = (24.3255,54.5425)

3578 : (x,y) = (25.211,54.0779)

3579 : (x,y) = (25.8063,53.2744)

3580 : (x,y) = (25.3424,52.3885)

3581 : (x,y) = (25.3732,53.388)

3582 : (x,y) = (26.125,54.0474)

3583 : (x,y) = (25.9044,53.0721)

3584 : (x,y) = (25.2456,53.8244)

3585 : (x,y) = (25.9841,54.4987)

3586 : (x,y) = (26.9713,54.658)

3587 : (x,y) = (27.9419,54.4172)

3588 : (x,y) = (28.8195,54.8966)

3589 : (x,y) = (28.9368,53.9035)

3590 : (x,y) = (29.9328,53.9934)

3591 : (x,y) = (28.9929,53.652)

3592 : (x,y) = (28.1917,54.2505)

3593 : (x,y) = (27.4389,53.5923)

3594 : (x,y) = (26.483,53.2983)

3595 : (x,y) = (25.807,52.5614)

3596 : (x,y) = (25.2654,51.7208)

3597 : (x,y) = (26.1743,52.1377)

3598 : (x,y) = (27.1091,51.7825)

3599 : (x,y) = (26.5261,50.97)

3600 : (x,y) = (26.9679,50.0729)

3601 : (x,y) = (25.9882,50.2731)

3602 : (x,y) = (25.4806,49.4115)

3603 : (x,y) = (25.5214,50.4107)

3604 : (x,y) = (26.4412,50.0183)

3605 : (x,y) = (27.3839,50.3518)

3606 : (x,y) = (27.734,49.4151)

3607 : (x,y) = (28.2461,48.5561)

3608 : (x,y) = (28.8652,47.7708)

3609 : (x,y) = (28.753,46.7771)

3610 : (x,y) = (28.0793,47.5161)

3611 : (x,y) = (27.8881,46.5346)

3612 : (x,y) = (27.0752,47.1169)

3613 : (x,y) = (26.3918,46.3869)

3614 : (x,y) = (26.519,45.395)

3615 : (x,y) = (26.2339,46.3535)

3616 : (x,y) = (27.1721,46.0076)

3617 : (x,y) = (26.1852,46.1685)

3618 : (x,y) = (27.1344,46.483)

3619 : (x,y) = (27.8774,45.8138)

3620 : (x,y) = (26.972,45.3893)

3621 : (x,y) = (26.4247,46.2262)

3622 : (x,y) = (27.38,46.5217)

3623 : (x,y) = (26.3817,46.4633)

3624 : (x,y) = (27.3419,46.1839)

3625 : (x,y) = (27.6572,47.1329)

3626 : (x,y) = (28.2788,47.9162)

3627 : (x,y) = (28.9312,48.6741)

3628 : (x,y) = (29.9294,48.734)

3629 : (x,y) = (30.4697,49.5755)

3630 : (x,y) = (29.4797,49.7166)

3631 : (x,y) = (29.6792,50.6965)

3632 : (x,y) = (29.4586,49.7212)

3633 : (x,y) = (29.3695,50.7172)

3634 : (x,y) = (28.7084,49.967)

3635 : (x,y) = (29.603,49.5202)

3636 : (x,y) = (30.5998,49.6001)

3637 : (x,y) = (29.6068,49.4819)

3638 : (x,y) = (30.0665,48.5938)

3639 : (x,y) = (29.0713,48.4956)

3640 : (x,y) = (28.3011,49.1334)

3641 : (x,y) = (28.3187,48.1335)

3642 : (x,y) = (28.2763,47.1344)

3643 : (x,y) = (28.9339,46.381)

3644 : (x,y) = (28.4524,45.5046)

3645 : (x,y) = (27.5206,45.8677)

3646 : (x,y) = (26.5473,46.0972)

3647 : (x,y) = (26.2621,47.0557)

3648 : (x,y) = (26.0447,48.0318)

3649 : (x,y) = (25.3686,47.2949)

3650 : (x,y) = (24.5538,46.7152)

3651 : (x,y) = (24.7108,45.7276)

3652 : (x,y) = (23.7208,45.8687)

3653 : (x,y) = (24.2943,46.6879)

3654 : (x,y) = (23.6355,47.4402)

3655 : (x,y) = (23.2103,48.3453)

3656 : (x,y) = (24.0612,47.8199)

3657 : (x,y) = (24.2996,48.7911)

3658 : (x,y) = (25.2884,48.9405)

3659 : (x,y) = (24.5182,49.5783)

3660 : (x,y) = (25.3321,50.1593)

3661 : (x,y) = (26.2368,50.5852)

3662 : (x,y) = (26.3243,49.5891)

3663 : (x,y) = (25.9792,48.6505)

3664 : (x,y) = (26.2436,47.6861)

3665 : (x,y) = (26.0261,48.6622)

3666 : (x,y) = (25.3451,49.3944)

3667 : (x,y) = (24.3985,49.0719)

3668 : (x,y) = (23.4047,49.1832)

3669 : (x,y) = (23.1873,50.1593)

3670 : (x,y) = (24.0051,49.5838)

3671 : (x,y) = (23.021,49.4064)

3672 : (x,y) = (23.9983,49.1948)

3673 : (x,y) = (24.2724,48.2331)

3674 : (x,y) = (23.2834,48.0852)

3675 : (x,y) = (23.8625,47.27)

3676 : (x,y) = (23.4923,48.1989)

3677 : (x,y) = (24.4246,48.5605)

3678 : (x,y) = (23.7126,47.8584)

3679 : (x,y) = (24.5026,48.4715)

3680 : (x,y) = (23.961,47.6309)

3681 : (x,y) = (24.8511,47.1752)

3682 : (x,y) = (25.4569,47.9708)

3683 : (x,y) = (25.663,46.9922)

3684 : (x,y) = (24.822,47.5332)

3685 : (x,y) = (24.0497,46.8979)

3686 : (x,y) = (23.2795,47.5357)

3687 : (x,y) = (22.4967,48.1579)

3688 : (x,y) = (21.5602,47.8071)

3689 : (x,y) = (20.6169,47.4751)

3690 : (x,y) = (21.0587,46.578)

3691 : (x,y) = (20.3975,45.8278)

3692 : (x,y) = (20.1575,44.857)

3693 : (x,y) = (20.1151,43.8579)

3694 : (x,y) = (19.1834,44.221)

3695 : (x,y) = (19.0514,43.2298)

3696 : (x,y) = (18.5552,44.098)

3697 : (x,y) = (17.6541,43.6645)

3698 : (x,y) = (17.6948,44.6636)

3699 : (x,y) = (16.8997,45.2701)

3700 : (x,y) = (17.2961,44.352)

3701 : (x,y) = (16.302,44.2438)

3702 : (x,y) = (17.2368,43.8886)

3703 : (x,y) = (16.2762,44.1665)

3704 : (x,y) = (15.3808,44.6118)

3705 : (x,y) = (15.2322,45.6007)

3706 : (x,y) = (15.9047,44.8606)

3707 : (x,y) = (16.5942,45.5849)

3708 : (x,y) = (15.6038,45.447)

3709 : (x,y) = (15.4452,46.4343)

3710 : (x,y) = (14.5529,45.9828)

3711 : (x,y) = (13.8769,45.246)

3712 : (x,y) = (13.3379,46.0883)

3713 : (x,y) = (12.7151,45.306)

3714 : (x,y) = (13.6945,45.1042)

3715 : (x,y) = (13.8317,44.1137)

3716 : (x,y) = (14.3379,44.9761)

3717 : (x,y) = (14.7159,44.0502)

3718 : (x,y) = (13.9565,43.3996)

3719 : (x,y) = (14.8982,43.0631)

3720 : (x,y) = (15.7928,42.6163)

3721 : (x,y) = (16.086,41.6603)

3722 : (x,y) = (15.7129,40.7325)

3723 : (x,y) = (16.0753,41.6646)

3724 : (x,y) = (16.8271,42.3239)

3725 : (x,y) = (17.2895,43.2106)

3726 : (x,y) = (17.4792,44.1924)

3727 : (x,y) = (16.5838,44.6378)

3728 : (x,y) = (15.9557,45.4159)

3729 : (x,y) = (16.2424,46.3739)

3730 : (x,y) = (15.4638,45.7463)

3731 : (x,y) = (16.33,45.2467)

3732 : (x,y) = (16.9438,46.0362)

3733 : (x,y) = (17.5496,46.8318)

3734 : (x,y) = (17.8649,47.7808)

3735 : (x,y) = (17.4039,48.6681)

3736 : (x,y) = (17.794,49.5889)

3737 : (x,y) = (18.602,50.178)

3738 : (x,y) = (17.6555,49.8555)

3739 : (x,y) = (17.3864,48.8924)

3740 : (x,y) = (16.4061,48.6953)

3741 : (x,y) = (15.4328,48.9248)

3742 : (x,y) = (15.5632,49.9162)

3743 : (x,y) = (14.9747,50.7247)

3744 : (x,y) = (15.9747,50.7247)

3745 : (x,y) = (16.8945,50.3324)

3746 : (x,y) = (15.8964,50.3939)

3747 : (x,y) = (16.8814,50.2216)

3748 : (x,y) = (16.8691,49.2217)

3749 : (x,y) = (17.8647,49.1286)

3750 : (x,y) = (17.9721,48.1344)

3751 : (x,y) = (17.3285,48.8998)

3752 : (x,y) = (18.3258,48.8267)

3753 : (x,y) = (17.37,48.5327)

3754 : (x,y) = (16.6193,49.1933)

3755 : (x,y) = (16.537,48.1966)

3756 : (x,y) = (15.5412,48.2881)

3757 : (x,y) = (16.4686,47.9142)

3758 : (x,y) = (15.4717,47.8359)

3759 : (x,y) = (15.1454,46.8906)

3760 : (x,y) = (14.1737,46.6545)

3761 : (x,y) = (13.3786,47.2609)

3762 : (x,y) = (13.9923,48.0504)

3763 : (x,y) = (14.7507,48.7023)

3764 : (x,y) = (14.2202,49.55)

3765 : (x,y) = (13.2219,49.4916)

3766 : (x,y) = (12.2378,49.3141)

3767 : (x,y) = (12.5784,48.3739)

3768 : (x,y) = (13.3032,49.0628)

3769 : (x,y) = (13.9379,48.2901)

3770 : (x,y) = (14.9017,48.5568)

3771 : (x,y) = (15.84,48.2109)

3772 : (x,y) = (15.0212,48.7851)

3773 : (x,y) = (15.1187,47.7899)

3774 : (x,y) = (15.3475,48.7633)

3775 : (x,y) = (15.3283,49.7632)

3776 : (x,y) = (15.4456,48.7701)

3777 : (x,y) = (14.7266,48.0751)

3778 : (x,y) = (15.1862,47.187)

3779 : (x,y) = (14.1886,47.1186)

3780 : (x,y) = (14.6511,48.0053)

3781 : (x,y) = (14.6987,47.0064)

3782 : (x,y) = (14.1076,46.1998)

3783 : (x,y) = (14.1751,45.2021)

3784 : (x,y) = (13.1989,44.9854)

3785 : (x,y) = (12.5106,45.7108)

3786 : (x,y) = (11.8443,46.4565)

3787 : (x,y) = (12.4476,45.6589)

3788 : (x,y) = (12.0867,46.5916)

3789 : (x,y) = (11.165,46.2036)

3790 : (x,y) = (10.1667,46.1452)

3791 : (x,y) = (11.0395,46.6334)

3792 : (x,y) = (10.4484,45.8268)

3793 : (x,y) = (9.65326,46.4332)

3794 : (x,y) = (9.26164,45.5131)

3795 : (x,y) = (9.99796,44.8365)

3796 : (x,y) = (10.8835,44.3719)

3797 : (x,y) = (10.6241,43.4061)

3798 : (x,y) = (11.1868,42.5794)

3799 : (x,y) = (11.5861,43.4962)

3800 : (x,y) = (11.7561,44.4817)

3801 : (x,y) = (12.1433,43.5597)

3802 : (x,y) = (12.1841,44.5589)

3803 : (x,y) = (11.9862,45.5391)

3804 : (x,y) = (12.8852,45.1012)

3805 : (x,y) = (12.7433,44.1114)

3806 : (x,y) = (11.9668,44.7414)

3807 : (x,y) = (11.1819,44.1217)

3808 : (x,y) = (10.9419,43.1509)

3809 : (x,y) = (11.2382,44.106)

3810 : (x,y) = (10.6337,44.9026)

3811 : (x,y) = (10.3263,43.951)

3812 : (x,y) = (10.8555,43.1024)

3813 : (x,y) = (10.5768,42.142)

3814 : (x,y) = (9.5883,42.2931)

3815 : (x,y) = (8.80973,41.6655)

3816 : (x,y) = (7.9001,41.2501)

3817 : (x,y) = (8.86115,41.5264)

3818 : (x,y) = (9.57684,40.828)

3819 : (x,y) = (10.2663,41.5523)

3820 : (x,y) = (9.55431,40.8502)

3821 : (x,y) = (10.1196,41.675)

3822 : (x,y) = (10.8909,42.3116)

3823 : (x,y) = (9.9941,41.8691)

3824 : (x,y) = (10.1641,42.8545)

3825 : (x,y) = (11.1185,42.5559)

3826 : (x,y) = (12.0822,42.8227)

3827 : (x,y) = (11.5746,41.9611)

3828 : (x,y) = (10.8768,41.2448)

3829 : (x,y) = (9.96848,41.6632)

3830 : (x,y) = (10.6359,42.4078)

3831 : (x,y) = (10.6036,41.4083)

3832 : (x,y) = (9.77913,41.9743)

3833 : (x,y) = (9.58792,40.9927)

3834 : (x,y) = (9.55554,39.9933)

3835 : (x,y) = (10.0618,40.8557)

3836 : (x,y) = (9.28519,41.4857)

3837 : (x,y) = (9.83121,40.6479)

3838 : (x,y) = (10.5399,39.9424)

3839 : (x,y) = (11.2148,40.6803)

3840 : (x,y) = (10.2407,40.4539)

3841 : (x,y) = (9.24329,40.5254)

3842 : (x,y) = (9.90328,41.2767)

3843 : (x,y) = (10.8023,40.8389)

3844 : (x,y) = (11.1146,39.8889)

3845 : (x,y) = (10.4168,39.1726)

3846 : (x,y) = (10.7948,38.2468)

3847 : (x,y) = (9.81921,38.4666)

3848 : (x,y) = (10.6272,39.0557)

3849 : (x,y) = (11.1733,38.218)

3850 : (x,y) = (10.1733,38.2096)

3851 : (x,y) = (9.29022,37.7404)

3852 : (x,y) = (9.84459,36.9081)

3853 : (x,y) = (9.98492,37.8982)

3854 : (x,y) = (10.8046,38.4711)

3855 : (x,y) = (11.0978,37.515)

3856 : (x,y) = (10.1937,37.9424)

3857 : (x,y) = (9.861,38.8854)

3858 : (x,y) = (10.8609,38.8722)

3859 : (x,y) = (9.92209,39.2166)

3860 : (x,y) = (9.21937,39.9281)

3861 : (x,y) = (9.36645,38.939)

3862 : (x,y) = (8.45401,39.3482)

3863 : (x,y) = (9.10403,38.5883)

3864 : (x,y) = (9.79845,37.8687)

3865 : (x,y) = (9.12475,38.6077)

3866 : (x,y) = (10.0484,38.2246)

3867 : (x,y) = (9.77285,39.1858)

3868 : (x,y) = (8.82733,39.5114)

3869 : (x,y) = (9.22667,40.4282)

3870 : (x,y) = (10.2226,40.5181)

3871 : (x,y) = (9.24638,40.3014)

3872 : (x,y) = (8.69068,41.1328)

3873 : (x,y) = (8.21195,42.0107)

3874 : (x,y) = (8.46013,42.9795)

3875 : (x,y) = (9.16397,43.6898)

3876 : (x,y) = (9.75118,42.8804)

3877 : (x,y) = (9.61243,43.8707)

3878 : (x,y) = (10.0209,44.7835)

3879 : (x,y) = (10.7366,44.0851)

3880 : (x,y) = (10.458,43.1247)

3881 : (x,y) = (9.83759,43.909)

3882 : (x,y) = (10.0827,42.9395)

3883 : (x,y) = (10.2032,43.9322)

3884 : (x,y) = (10.8757,43.1921)

3885 : (x,y) = (11.6254,42.5303)

3886 : (x,y) = (12.6055,42.729)

3887 : (x,y) = (12.9956,43.6498)

3888 : (x,y) = (13.9924,43.7297)

3889 : (x,y) = (13.3114,44.4619)

3890 : (x,y) = (14.3001,44.6113)

3891 : (x,y) = (15.1664,44.1117)

3892 : (x,y) = (15.9564,44.7248)

3893 : (x,y) = (16.1034,43.7357)

3894 : (x,y) = (16.3322,44.7092)

3895 : (x,y) = (16.1508,43.7258)

3896 : (x,y) = (17.0745,43.3426)

3897 : (x,y) = (16.0762,43.2843)

3898 : (x,y) = (15.885,42.3027)

3899 : (x,y) = (15.7729,41.309)

3900 : (x,y) = (16.4624,42.0333)

3901 : (x,y) = (17.1919,41.3493)

3902 : (x,y) = (16.7911,40.4332)

3903 : (x,y) = (16.0583,39.7527)

3904 : (x,y) = (16.7809,39.0615)

3905 : (x,y) = (17.5502,38.4225)

3906 : (x,y) = (17.6675,37.4294)

3907 : (x,y) = (16.809,36.9166)

3908 : (x,y) = (16.7498,37.9149)

3909 : (x,y) = (15.9904,37.2642)

3910 : (x,y) = (16.9895,37.2211)

3911 : (x,y) = (17.5604,36.4001)

3912 : (x,y) = (17.5412,37.3999)

3913 : (x,y) = (18.5192,37.6083)

3914 : (x,y) = (18.3804,38.5987)

3915 : (x,y) = (18.7706,39.5194)

3916 : (x,y) = (18.3274,40.4158)

3917 : (x,y) = (17.7389,41.2243)

3918 : (x,y) = (17.1029,41.9961)

3919 : (x,y) = (16.3909,41.2939)

3920 : (x,y) = (15.7397,42.0528)

3921 : (x,y) = (16.6109,41.5618)

3922 : (x,y) = (17.5947,41.7409)

3923 : (x,y) = (18.1845,42.5484)

3924 : (x,y) = (18.8293,43.3128)

3925 : (x,y) = (19.7652,43.665)

3926 : (x,y) = (20.207,42.7679)

3927 : (x,y) = (19.2079,42.8095)

3928 : (x,y) = (19.5232,43.7585)

3929 : (x,y) = (19.296,44.7323)

3930 : (x,y) = (18.5112,44.1126)

3931 : (x,y) = (18.4122,45.1077)

3932 : (x,y) = (19.1017,45.832)

3933 : (x,y) = (18.1299,45.5958)

3934 : (x,y) = (17.9584,44.6106)

3935 : (x,y) = (16.9761,44.4233)

3936 : (x,y) = (16.3301,43.66)

3937 : (x,y) = (17.3276,43.73)

3938 : (x,y) = (17.8929,44.5549)

3939 : (x,y) = (16.893,44.5665)

3940 : (x,y) = (17.5121,43.7812)

3941 : (x,y) = (17.4797,42.7817)

3942 : (x,y) = (16.8438,43.5534)

3943 : (x,y) = (17.8433,43.5834)

3944 : (x,y) = (17.6325,42.6059)

3945 : (x,y) = (18.6316,42.5627)

3946 : (x,y) = (18.9816,41.626)

3947 : (x,y) = (18.8596,40.6335)

3948 : (x,y) = (17.8607,40.5851)

3949 : (x,y) = (18.6609,39.9853)

3950 : (x,y) = (19.6037,40.3188)

3951 : (x,y) = (19.9537,39.3821)

3952 : (x,y) = (19.022,39.7452)

3953 : (x,y) = (19.672,38.9853)

3954 : (x,y) = (18.9191,38.3271)

3955 : (x,y) = (17.9531,38.5857)

3956 : (x,y) = (17.2845,37.8421)

3957 : (x,y) = (16.7097,37.0239)

3958 : (x,y) = (15.7099,37.0454)

3959 : (x,y) = (15.6009,38.0395)

3960 : (x,y) = (16.0782,37.1608)

3961 : (x,y) = (16.3715,36.2047)

3962 : (x,y) = (15.6525,35.5097)

3963 : (x,y) = (16.2794,34.7307)

3964 : (x,y) = (15.9437,33.7887)

3965 : (x,y) = (16.3216,32.8629)

3966 : (x,y) = (15.933,33.7843)

3967 : (x,y) = (14.9353,33.7159)

3968 : (x,y) = (15.0228,32.7197)

3969 : (x,y) = (14.2655,33.3728)

3970 : (x,y) = (14.9306,32.626)

3971 : (x,y) = (14.1043,32.0627)

3972 : (x,y) = (13.6141,31.1911)

3973 : (x,y) = (14.0854,32.0731)

3974 : (x,y) = (14.5479,32.9597)

3975 : (x,y) = (14.7833,31.9878)

3976 : (x,y) = (15.2189,32.8879)

3977 : (x,y) = (15.8381,32.1026)

3978 : (x,y) = (14.99,31.5728)

3979 : (x,y) = (15.6844,30.8532)

3980 : (x,y) = (15.5953,31.8492)

3981 : (x,y) = (14.6736,31.4613)

3982 : (x,y) = (14.8238,32.4499)

3983 : (x,y) = (15.5601,31.7733)

3984 : (x,y) = (16.1634,30.9757)

3985 : (x,y) = (15.7202,31.8721)

3986 : (x,y) = (16.1827,32.7588)

3987 : (x,y) = (17.1813,32.7056)

3988 : (x,y) = (17.878,33.423)

3989 : (x,y) = (16.9039,33.1965)

3990 : (x,y) = (16.9047,34.1965)

3991 : (x,y) = (15.9147,34.3377)

3992 : (x,y) = (16.3476,33.4362)

3993 : (x,y) = (17.3476,33.4362)

3994 : (x,y) = (18.2958,33.1186)

3995 : (x,y) = (18.2135,32.122)

3996 : (x,y) = (19.0274,32.703)

3997 : (x,y) = (19.7453,33.3992)

3998 : (x,y) = (19.816,34.3967)

3999 : (x,y) = (19.0502,33.7537)

4000 : (x,y) = (20.0296,33.5519)

4001 : (x,y) = (21.0116,33.7407)

4002 : (x,y) = (21.3552,34.6798)

4003 : (x,y) = (21.9205,35.5047)

4004 : (x,y) = (21.1831,36.1802)

4005 : (x,y) = (21.5049,35.2334)

4006 : (x,y) = (22.1082,34.4358)

4007 : (x,y) = (22.9555,34.967)

4008 : (x,y) = (23.4415,34.0931)

4009 : (x,y) = (24.2835,34.6327)

4010 : (x,y) = (23.3972,35.0959)

4011 : (x,y) = (23.0521,34.1574)

4012 : (x,y) = (23.842,34.7705)

4013 : (x,y) = (22.8437,34.7121)

4014 : (x,y) = (22.3563,35.5853)

4015 : (x,y) = (21.6442,34.8831)

4016 : (x,y) = (22.3191,35.621)

4017 : (x,y) = (22.2468,34.6237)

4018 : (x,y) = (21.3343,35.0329)

4019 : (x,y) = (21.916,35.8463)

4020 : (x,y) = (22.9151,35.8031)

4021 : (x,y) = (23.7712,35.2862)

4022 : (x,y) = (22.8358,35.64)

4023 : (x,y) = (22.2529,34.8275)

4024 : (x,y) = (22.2105,33.8284)

4025 : (x,y) = (21.9222,32.8709)

4026 : (x,y) = (21.1985,33.5609)

4027 : (x,y) = (20.847,34.4971)

4028 : (x,y) = (20.7479,35.4922)

4029 : (x,y) = (19.7594,35.6432)

4030 : (x,y) = (18.7735,35.4756)

4031 : (x,y) = (17.7774,35.3873)

4032 : (x,y) = (17.7682,36.3873)

4033 : (x,y) = (18.1183,35.4505)

4034 : (x,y) = (18.8431,36.1395)

4035 : (x,y) = (18.2958,36.9764)

4036 : (x,y) = (17.4287,37.4746)

4037 : (x,y) = (17.0217,38.388)

4038 : (x,y) = (16.1401,38.8601)

4039 : (x,y) = (16.1209,39.8599)

4040 : (x,y) = (16.7026,40.6733)

4041 : (x,y) = (15.7052,40.7448)

4042 : (x,y) = (15.0218,40.0148)

4043 : (x,y) = (14.0508,40.254)

4044 : (x,y) = (14.8873,40.802)

4045 : (x,y) = (14.9748,39.8059)

4046 : (x,y) = (14.9756,40.8059)

4047 : (x,y) = (14.2496,40.1181)

4048 : (x,y) = (14.2173,39.1186)

4049 : (x,y) = (15.1755,39.4046)

4050 : (x,y) = (16.0367,38.8963)

4051 : (x,y) = (15.0449,38.7682)

4052 : (x,y) = (16.0396,38.6652)

4053 : (x,y) = (16.0372,37.6652)

4054 : (x,y) = (16.2562,38.641)

4055 : (x,y) = (15.9141,39.5806)

4056 : (x,y) = (16.2359,38.6338)

4057 : (x,y) = (16.8471,37.8423)

4058 : (x,y) = (17.0367,38.8242)

4059 : (x,y) = (17.7383,38.1116)

4060 : (x,y) = (18.7096,38.3493)

4061 : (x,y) = (19.1425,37.4478)

4062 : (x,y) = (19.0105,36.4566)

4063 : (x,y) = (19.4641,37.3478)

4064 : (x,y) = (19.4349,38.3474)

4065 : (x,y) = (20.3027,38.8442)

4066 : (x,y) = (21.2198,39.2428)

4067 : (x,y) = (20.6724,40.0797)

4068 : (x,y) = (19.6724,40.0813)

4069 : (x,y) = (19.2025,40.964)

4070 : (x,y) = (19.389,39.9816)

4071 : (x,y) = (19.6341,39.0121)

4072 : (x,y) = (18.6754,38.7277)

4073 : (x,y) = (18.3116,37.7962)

4074 : (x,y) = (17.8925,36.8882)

4075 : (x,y) = (18.4074,37.7455)

4076 : (x,y) = (19.0896,38.4767)

4077 : (x,y) = (18.0947,38.5781)

4078 : (x,y) = (18.8968,39.1753)

4079 : (x,y) = (18.7747,38.1828)

4080 : (x,y) = (18.0557,37.4878)

4081 : (x,y) = (19.0294,37.7158)

4082 : (x,y) = (18.0441,37.8865)

4083 : (x,y) = (17.1855,37.3737)

4084 : (x,y) = (17.8727,36.6473)

4085 : (x,y) = (18.8383,36.3871)

4086 : (x,y) = (18.0121,35.8238)

4087 : (x,y) = (18.1326,36.8165)

4088 : (x,y) = (18.3485,35.8401)

4089 : (x,y) = (18.6225,34.8784)

4090 : (x,y) = (19.4001,35.5072)

4091 : (x,y) = (19.1729,36.481)

4092 : (x,y) = (18.2474,36.1023)

4093 : (x,y) = (17.7254,36.9552)

4094 : (x,y) = (18.7254,36.9552)

4095 : (x,y) = (19.5009,36.324)

4096 : (x,y) = (20.047,35.4862)

4097 : (x,y) = (20.8225,34.8549)

4098 : (x,y) = (20.4155,35.7683)

4099 : (x,y) = (20.493,34.7714)

4100 : (x,y) = (19.5475,35.0969)

4101 : (x,y) = (19.1467,34.1807)

4102 : (x,y) = (19.9469,33.581)

4103 : (x,y) = (19.6236,34.5273)

4104 : (x,y) = (18.6452,34.3204)

4105 : (x,y) = (19.1829,33.4772)

4106 : (x,y) = (19.7372,32.6449)

4107 : (x,y) = (19.2673,33.5276)

4108 : (x,y) = (18.8331,34.4284)

4109 : (x,y) = (18.9833,35.4171)

4110 : (x,y) = (18.7823,34.4375)

4111 : (x,y) = (19.1041,33.4907)

4112 : (x,y) = (18.385,32.7957)

4113 : (x,y) = (19.3841,32.7525)

4114 : (x,y) = (18.4006,32.9331)

4115 : (x,y) = (17.4477,32.6296)

4116 : (x,y) = (16.5124,32.9833)

4117 : (x,y) = (17.1315,32.198)

4118 : (x,y) = (16.1324,32.2396)

4119 : (x,y) = (15.4018,32.9224)

4120 : (x,y) = (15.4693,31.9247)

4121 : (x,y) = (14.831,31.155)

4122 : (x,y) = (13.8424,31.306)

4123 : (x,y) = (13.87,30.3064)

4124 : (x,y) = (14.7616,30.7593)

4125 : (x,y) = (15.739,30.5477)

4126 : (x,y) = (15.6368,29.5529)

4127 : (x,y) = (16.5654,29.9238)

4128 : (x,y) = (15.5685,29.8455)

4129 : (x,y) = (16.5167,29.5279)

4130 : (x,y) = (17.4769,29.2485)

4131 : (x,y) = (16.6698,29.8389)

